rank	schoolChinese	schoolEnglish	score
55	香港科技大学	Hong Kong University of Science and Technology	9.250
56	厦门大学嘉庚学院	Jiageng College of Xiamen University	9.235
57	合肥工业大学	Hefei University of Technology	8.665
57	西南交通大学	Southwest Jiaotong University	8.665
57	中北大学	North University of China	8.665
60	重庆大学	Chongqing University	8.650
61	东莞理工学院	Dongguan University of Technology	8.610
62	浙江纺织服装职业技术学院	Zhejiang Textile and Clothing Vocational and Technical College	8.565
63	东北大学秦皇岛分校	Northeastern University at Qinhuangdao	8.515
63	燕山大学	Yanshan University	8.515
65	安徽信息工程学院	Anhui Institute of Information Engineering	8.415
65	福建理工大学	Fujian University of Technology	8.415
65	合肥工业大学(宣城校区)	Hefei University Of Technology Xuancheng Campus	8.415
68	成都大学	Chengdu University	8.265
69	桂林理工大学	Guilin University of Technology	8.250
70	深圳职业技术大学	Shenzhen Polytechnic University	8.230
71	华东理工大学	East China University of Science and Technology	8.215
72	长安大学	Changan University	8.170
73	沈阳航空航天大学	Shenyang Aerospace University	8.130
74	北京信息科技大学	Beijing Information Science and Technology University	8.070
75	湖南大学	Hunan University	8.000
75	太原科技大学	Taiyuan University of Science and Technology	8.000
77	南华大学	Nanhua University	7.900
77	山东理工大学	Shandong University of Technology	7.900
79	河北科技大学	Hebei University of Science and Technology	7.850
79	深圳技术大学	Shenzhen University of Technology	7.850
79	新潟联合大学	Niigata Universities Alliance	7.850
82	成都信息工程大学	Chengdu University of Information Technology	7.775
83	上海科技大学	ShanghaiTech University	7.650
84	华北理工大学	North China University of Science and Technology	7.600
85	福建师范大学	Fujian Normal University	7.375
86	河北工业大学	Hebei University of Technology	7.350
87	西安理工大学	Xi'an University of Technology	7.334
88	香港大学	The University of Hong Kong	7.275
89	成都工业学院	Chengdu Institute of Technology	7.175
90	青岛大学	Qingdao University	7.100
91	北京工业大学	Beijing University Of Technology	6.900
92	湘潭大学	Xiangtan University	6.850
93	桂林电子科技大学北海校区	Guilin University of Electronic Technology Beihai Campus	6.459
94	青岛理工大学	Qingdao Technological University	6.375
95	茅台学院	Moutai College	6.348
96	西交利物浦大学	Xi'an Jiaotong-Liverpool University	6.280
97	火箭军工程大学	Rocket Force University of Engineering	6.268
98	浙江理工大学	Zhejiang Sci-Tech University	6.250
99	常州大学	Changzhou University	6.225
100	仲恺农业工程学院	Zhongkai University of Agriculture Engineering	6.165
101	西南民族大学	Southwest University for Nationalities	6.098
102	东华大学	Donghua University	6.000
102	浙江师范大学	Zhejiang Normal University	6.000
102	中国民航大学	Civil Aviation University of China	6.000
105	长沙理工大学	Changsha University of Science and Technology	5.975
106	湖北工业大学	Hubei University of Technology	5.905
107	防灾科技学院	School of Disaster Prevention Technology	5.900
108	福建农林大学	Fujian Agriculture and Forestry University	5.850
109	陆军勤务学院	Engineering University of the Joint Logistics Support Force, PLA	5.825
110	沈阳建筑大学	Shenyang Jianzhu University	5.800
111	文华学院	Wenhua College	5.725
111	云南大学	Yunnan University	5.725
113	北京林业大学	Beijing Forestry University	5.695
114	华南师范大学	South China Normal University	5.600
114	江苏大学	Jiangsu University	5.600
114	宁波工程学院	Ningbo Institute of Technology	5.600
117	电子科技大学成都学院	Chengdu University of Electronic Science and Technology of China	5.575
118	内蒙古科技大学	Inner Mongolia University of Science and Technology	5.575
119	重庆三峡学院	Chongqing Three Gorges University	5.475
120	广西大学	Guangxi University	5.425
120	香港科技大学（广州）	Hong Kong University of Science and Technology (Guangzhou)	5.425
