school	nickname	uid	group
加利福尼亚大学圣巴巴拉分校	UCSB机甲大师_RMG	3546578319050990	RM
江南大学	江南大学鼋GO战队	3493265651272483	RM
江南大学（霞客湾校区）	江南大学SHARK战队	3546774071413188	RM
江苏大学	JSU-RM-Aurora战队	690755074	RM
江苏大学	FIVEPINES-23赛季	1453155959	RM
江苏航空职业技术学院	江苏航院飞凡创新战队	3546745474648723	RM
江苏科技大学	JUST-HLL机器人战队	303496033	RM
江西工程学院	江工天启机器人战队	3546787488991647	RM
江西机电职业技术学院	机电168	1680373294	RM
江西理工大学	江理乘风	1817789132	RM
昆明理工大学津桥学院	津桥Courage战队	1614878100	RM
兰州理工大学	LUT红柳猎人机甲工作室	583837408	RM
辽宁科技大学	辽科大COD机器人战队	691466100	RM
辽宁石油化工大学	TCN机器人实验室	387003936	RM
柳州工学院	鹿人甲机器人战队	3546559075584646	RM
麦克马斯特大学	MacFalcons	1799310293	RM
茅台学院	MTI机器人战队	2064448484	RM
闽江学院	MJU机器人战队	1199505603	RM
闽江学院	赤源机甲战队	3546781700851847	RM
南昌大学	南昌大学机器人队	480643172	RM&RC
南昌航空大学	南昌航空大学洪鹰战队	3461574310234959	RM
南方科技大学	南科大ARTINX战队	645940972	RM
南华大学	南华大学MA战队	1471305072	RM
南京工业大学	南京工业大学Bluespace	699961383	RM
南京航空航天大学	南航长空御风	22993364	RM
南京航空航天大学	南航长空御风战队	1743304417	RM
南京航空航天大学（天目湖校区）	巡天御风机甲战队	3546764411930963	RM
南京航空航天大学金城学院	南航金城BOF战队	1968803090	RM
南京理工大学	AIR机器人创意工作室	2098269124	RM
南京理工大学	南京理工Alliance战队	3493111762258202	RM
南京理工大学江阴校区	南京理工Combat战队	3546890614344273	RM
南京邮电大学	南邮Potential战队	3546863781283927	RM
南开大学	南开robomaster伯苓战队	3493278888495446	RM
南通理工学院	通理工紫琅战队	3494353592912731	RM
内蒙古大学	内大KeepRunning战队	3546828884675158	RM
内蒙古科技大学	IMUST雷霆战队	1029500998	RM
内蒙古师范大学	内师RAIIEC战队	3546650146507637	RM
宁波工程学院	New_Legends战队	1024956317	RM
宁波诺丁汉大学	诺丁汉大学AIM战队	1746428006	RM
齐鲁工业大学	齐鲁工业大学Adam战队	1475529374	RM
青岛大学	QDU未来战队	1309383975	RM
青岛科技大学	青岛科大YKTKEMIAO战队	3546788998941154	RM
青海大学	RoboMaster河湟谷人_	1338869163	RM
厦门大学	厦门大学RCS机器人队	1008703584	RM&RC
厦门大学嘉庚学院	厦大嘉庚TCR战队	1432664257	RM
厦门理工学院	厦门理工PFA战队	1206555737	RM
山东大学	山东大学齐鲁战队	1968397648	RM
山东华宇工学院	山东华宇工学院Perserve	651450521	RM
山东科技大学	山科大SmartRobot	1236342541	RM
山东理工大学	山东理工大学齐奇战队	510329063	RM
山东石油化工学院	未来社-未来之翼	430574374	RM
陕西科技大学	陕科大BattleSwanX	550712314	RM
上海大学	上海大学SRM战队	471633037	RM
上海电力大学	上海电力大学灵晔战队	3546689117883244	RM
上海工程技术大学	SUES木鸢机甲工作室	238784652	RM
上海交通大学	RM云汉交龙战队	550225216	RM
上海科技大学	Magician战队	593851823	RM
上海科技大学	上科大-MAGICIAN战队	1187155259	RM
上海理工大学	上海理工RoboVigor战队	476776250	RM
深圳北理莫斯科大学	住在实验室的北极熊	3546375214074353	RM
深圳大学	深大RobotPilots	628590740	RM
深圳技术大学	悍小酱RoboMaster	1198181004	RM
深圳信息职业技术大学（原深圳信息职业技术学院）	深信息撼龙战队	3546747072678645	RM
深圳职业技术大学	RCIA战队	327308867	RM
沈阳工业大学	沈阳工业大学DTS战队	3546738902174415	RM
沈阳工业大学	沈工大MEIC机器人战队	3461581950158871	RM&RC
沈阳工业大学（辽阳分校）	SUT赫兹矩阵创新实验室	3546768377646010	RM
沈阳航空航天大学	TUP战队	286752024	RM
沈阳化工大学	沈化TBM机器人战队	3546666533652549	RM
沈阳建筑大学	JianfengRobotics	388263042	RM
沈阳理工大学	沈理Ambition战队	702190823	RM
石河子大学	石大戈壁明珠战队	3494362845546660	RM
石家庄铁道大学	石铁大_铁道兵战队	1708564216	RM
首都师范大学	WPIE学生创新实验室	424286546	RM
四川大学	川大RM火锅战队	495153187	RM
苏州大学应用技术学院	苏鸾战队机器人实验室	3546592665668577	RM
苏州工学院（原常熟理工学院）	苏工院机甲大师RA战队	3494349631392617	RM
太原工业学院	太工机器人队	1571262260	RM&RC
太原科技大学	太科NewMaker战队	1997999390	RM
太原理工大学	太原理工智能交通基地	438549485	RM
天津大学	北洋机甲	520634089	RM
天津工业大学	TGU电控联合实验室	439792156	RM
天津理工大学	LIF-LAB	3461578091399672	RM
同济大学	TJ-SuperPower战队	651837546	RM
同济大学浙江学院	Robomaster-天禄战队	1852368791	RM
潍坊科技学院	潍科AIC战队	3546602962684338	RM
温州职业技术学院	温职院INSIST机器人战队	3493259124935135	RM&RC
文华学院	文华学院MSE-STAR	1413211104	RM
文山学院	ALPHA实验室	500642240	RM
五邑大学	五邑大学IMCA战队	1912256477	RM
武汉大学	RM珞珈狐	3546645455178611	RM
武汉工程大学	武汉工程大学Nautilus	497541103	RM
武汉华夏理工学院	WHHXIT京喜战队	3546873331714048	RM
武汉科技大学	武汉科技大学崇实战队	1932601494	RM
武汉理工大学	WHUT机甲大师PRIME战队	3546776657201887	RM
武汉生物工程学院	武生智擎机器人实验室	3546888137607701	RM&RC
西安电子科技大学	西电IRobot机器人战队	436391821	RM
西安交通大学	西安交通大学笃行战队	3546801699293936	RM
西安科技大学	RM秦风战队	3493283934243236	RM
西安理工大学	西理工NEXT-E	1289802205	RM
西北工业大学	西工大WMJ战队	454165986	RM
西北农林科技大学	猎隼战队	3546582861482060	RM
西交利物浦大学	西浦GMaster	499586580	RM
西交利物浦大学创业家学院（太仓）	西浦OmniX	3546761413004092	RM
西南大学	西南大学GKD机器人队	316407854	RM
西南交通大学	西南交通大学HELIOS战队	1432889717	RM
西南民族大学	SMU新竹战队	232333210	RM
西南石油大学	IST铁人战队	2138265818	RM
西南石油大学南充校区	泓龙RM战队	3546586187565501	RM
香港大学	港大HerKules战队	3546388946225255	RM
香港科技大学	港科大ENTERPRIZE战队	634988052	RM
香港科技大学（广州）	港科广PnX战队	3546679787653687	RM
湘潭大学	湘大RM逐曦战队	1244535822	RM
新疆大学	小白杨战队	3546775497476325	RM
新疆工程学院	金胡杨战队	3546755463383730	RM
新疆铁道职业技术学院	巨人机器人战队	564547664	RM
盐城师范学院	RoboMaster盐鹤战队	3546655682988694	RM
燕山大学	YSU-Eagle战队	690095204	RM
伊利诺伊大学香槟分校	香槟IlliniRM	313126472	RM
宜宾学院	YiBinU机器人俱乐部	1158859501	RM
云南大学	Future机器人战队	596271766	RM
长安大学	长安大学VGD战队	1091878846	RM
长春理工大学	长理CVIR战队	701947816	RM
长沙理工大学	云嵌战队	3546686683089883	RM
浙江大学	浙江大学HelloWorld战队	1882602720	RM
浙江大学伊利诺伊大学厄巴纳香槟校区联合学院	浙江大学ZJUI-Meta战队	1761990693	RM
浙江纺织服装职业技术学院	RoboFuture战队	39551564	RM
浙江工业大学	浙工大机器人队ZJUTDeus	3494376349108696	RM
浙江理工大学	浙理钱塘蛟战队	1085023682	RM
浙江师范大学	浙狮战队	3546588284717401	RM
郑州大学	RM中州烛龙实验室	471030934	RM
郑州大学	郑大RM中州烛龙战队	1779257476	RM
中北大学	中北大学卓创工作室	347067917	RM
中国科学技术大学	中科大RoboWalker战队	1095888833	RM
中国科学技术大学	USTC机器人俱乐部	1630993717	RM
中国科学院大学	UCAS-SAS战队	3546890259925351	RM
中国矿业大学	中国矿业大学CUBOT战队	1881632138	RM
中国民航大学	中国民航大学ITL战队	2075522539	RM
中国石油大学（北京）	SPR机器人队	1489728412	RM&RC
中国石油大学（北京）克拉玛依校区	戈壁之魂机器人	3461573483956757	RM
中国石油大学（华东）	UPC-RPS战队	2006124402	RM
中南大学	中南大学FYT机器人战队	1937262957	RM
中央民族大学	MUC参北斗战队	12239416	RM
中原工学院	TFD战队	3493278687169078	RM
仲恺农业工程学院	仲恺奇点战队	699190511	RM
珠海科技学院（原吉林大学珠海学院）	珠海科技学院征途战队	3546564937124514	RM
广西师范大学	TigersDirector	3546889957935885	RM
黑龙江大学	SimbaRobotics	3546892996708560	RM
